OBJECTID,GEOID,County,City,TotalPop,LowInc_PEC,POC_PEC,VulAge_PEC,PWD_PEC,LEP_PEC,LVTA_PEC,HHCostB_PEC,NoHS_PEC,SinParHH_PEC,OthPriorityPops,YEAR,GlobalID,created_user,created_date,last_edited_user,last_edited_date
1,06071003506,San Bernardino,Rialto,5091,1,1,1,0,0,1,1,1,1,5,2023,{CC9957CA-9B42-4FF5-844D-A629186E593D},,,,
2,06111004200,Ventura,Port Hueneme,5204,1,1,1,1,1,1,1,1,0,6,2023,{D7652FC3-A748-4F74-BF79-74D88A86FDD4},,,,
3,06111003301,Ventura,Oxnard,2458,1,1,1,1,1,1,1,1,0,6,2023,{7D7C20CB-41E2-4334-ADE6-B385766E15A3},,,,
4,06071008404,San Bernardino,Redlands,3695,1,1,1,1,1,1,1,1,1,7,2023,{65735B86-AFC5-4534-BCEE-17C4E5D872C6},,,,
5,06071000404,San Bernardino,Chino,4622,0,1,1,1,1,1,1,0,0,5,2023,{316B9064-BC12-4E41-8366-1747E029B428},,,,
6,06111003608,Ventura,Oxnard,3629,0,1,1,1,1,1,1,1,0,6,2023,{85675F78-D120-4FD6-B51E-3B2CA4F09AE7},,,,
7,06111003700,Ventura,Oxnard,6209,1,1,1,0,1,1,1,1,0,5,2023,{27A589A1-7EDF-4A18-9CAE-AE6DF9BA69FC},,,,
8,06037310701,Los Angeles,Burbank,2286,1,0,1,1,1,0,0,0,1,4,2023,{4EA6E707-B722-4271-A1C1-E9BFA8E74E40},,,,
9,06111004000,Ventura,Oxnard,6570,1,1,1,1,1,1,1,1,0,6,2023,{30897952-023B-4084-83BB-D120C1684602},,,,
10,06111004101,Ventura,Oxnard,7237,1,1,1,0,1,1,1,1,0,5,2023,{9749049B-815B-414F-9399-B3221CD70653},,,,
11,06111004503,Ventura,Oxnard,5121,1,1,1,0,1,1,1,1,1,6,2023,{89529217-FDEA-46E9-A57D-16273B12BE4B},,,,
12,06111004504,Ventura,Oxnard,5931,1,1,1,1,1,1,1,1,1,7,2023,{9ECBA9A0-5434-4297-9619-467E370083A3},,,,
13,06111001511,Ventura,San Buenaventura,2440,1,1,1,0,1,1,1,0,0,4,2023,{10D98C13-E960-4F73-8746-EDD541175E60},,,,
14,06111003101,Ventura,Oxnard,4223,0,1,1,0,1,1,1,1,1,6,2023,{266235DF-BA5E-4F26-B45F-C7BF7DD72FDE},,,,
15,06111003902,Ventura,Oxnard,4162,1,1,1,0,0,1,1,1,1,5,2023,{174189DA-55BA-44E2-86B0-D6A0A7D6816B},,,,
16,06111001509,Ventura,San Buenaventura,4224,1,1,0,1,0,1,1,1,1,5,2023,{DD9F850E-D95D-463A-A9B6-76A3AA81AEC6},,,,
17,06071008100,San Bernardino,Redlands,3141,1,0,1,1,0,1,1,0,1,5,2023,{A5E7D24A-C156-46CE-9002-C3918804CEC2},,,,
18,06065044516,Riverside,Unincorporated,5814,1,0,1,1,1,0,1,1,0,5,2023,{FB6B9100-330C-4CFD-B643-F726C6364AFC},,,,
19,06111004507,Ventura,Oxnard,3182,1,1,1,1,1,1,1,1,1,7,2023,{B0C379FB-3EFD-400D-9348-599743F6E7C5},,,,
20,06111004508,Ventura,Oxnard,4092,1,1,1,0,1,1,1,1,1,6,2023,{05CF1C54-7882-4649-823C-01140D6DA2DE},,,,
21,06111002302,Ventura,San Buenaventura,4574,1,1,1,1,1,1,1,1,1,7,2023,{DC568DB2-BF3F-48C1-ACC9-0DEB416F1D80},,,,
22,06111002301,Ventura,San Buenaventura,1795,1,1,0,1,1,0,1,1,1,5,2023,{AA4C9328-8525-46CD-AA3E-C1DE56B7A841},,,,
23,06111005006,Ventura,Unincorporated,3041,1,1,0,0,1,0,1,1,0,3,2023,{5DE32B45-92AF-42FF-920F-BA2FFB225F90},,,,
24,06111009700,Ventura,Unincorporated,3110,1,1,0,1,1,0,1,1,0,4,2023,{F65A8492-3C59-44B2-90DC-2B29FE9C0DDB},,,,
25,06111009200,Ventura,Oxnard,5599,0,1,1,1,1,0,1,1,1,6,2023,{DB1CA4D3-1FBD-4204-A3EA-C93F0F9B7A98},,,,
26,06111003613,Ventura,Oxnard,5042,1,1,1,0,0,1,1,0,1,4,2023,{455512ED-9005-43C9-951E-9C475F9314DE},,,,
27,06111008602,Ventura,Oxnard,3012,1,1,0,0,1,1,0,1,1,4,2023,{0C278461-29C5-4971-9490-F19EE39B196A},,,,
28,06111003302,Ventura,Oxnard,6022,1,1,1,0,1,1,0,1,1,5,2023,{1E9C828F-AF44-4CF5-B57E-38326BF9A5C3},,,,
29,06111006102,Ventura,Thousand Oaks,4409,1,1,1,0,1,1,1,0,1,5,2023,{BD49F3B0-AEF3-42B2-9EE7-9ECDD00DA729},,,,
30,06111005005,Ventura,Unincorporated,4252,1,1,1,1,1,1,1,1,1,7,2023,{3909FCD1-27BA-433E-A0ED-732312331FB2},,,,
31,06111004704,Ventura,Unincorporated,1642,1,1,1,0,0,1,1,1,0,4,2023,{74D2A421-045B-4108-A6F7-F0D0ACE8751A},,,,
32,06111003901,Ventura,Oxnard,3119,1,1,1,0,1,1,1,1,1,6,2023,{3AF01D8D-A3F1-4072-9DAE-0FF6F56445D1},,,,
33,06025010102,Imperial,Unincorporated,3903,1,1,1,0,1,0,1,1,0,4,2023,{85FE65ED-B5B5-4CBE-A48E-9426C9D90AA5},,,,
34,06025010101,Imperial,Unincorporated,4207,1,1,0,1,0,1,1,1,0,4,2023,{30F753E4-2C3D-40FB-872D-17421B428254},,,,
35,06025012001,Imperial,Calexico,4774,1,1,1,1,1,1,1,1,0,6,2023,{288B88C5-21C2-49D1-8AA3-3E3E98D01349},,,,
36,06037320300,Los Angeles,San Fernando,6403,1,1,1,1,1,0,1,1,0,5,2023,{1BD2EAD8-348B-4F5F-AF5A-B19A3595C337},,,,
37,06037301502,Los Angeles,Glendale,7204,1,0,1,1,1,1,1,0,0,5,2023,{7C084CF6-6379-4073-A4C6-90D6BFE90734},,,,
38,06037301601,Los Angeles,Glendale,5496,1,0,1,1,1,0,1,1,0,5,2023,{4C362376-0977-4858-98ED-E2E11ED1C5A9},,,,
39,06037301702,Los Angeles,Glendale,6148,1,0,1,1,1,0,1,0,0,4,2023,{93B9A6A4-D074-4D38-8267-40D74441C6C9},,,,
40,06037302002,Los Angeles,Glendale,3935,1,0,1,1,1,0,1,0,0,4,2023,{9F89B801-489E-4793-8DB4-054520E81764},,,,
41,06111005002,Ventura,Unincorporated,3081,1,1,1,1,1,1,1,1,1,7,2023,{7B1B1F8F-BA4A-4E0A-9868-6586DCC89E88},,,,
42,06037237900,Los Angeles,Los Angeles,4473,1,1,1,1,0,0,1,0,1,4,2023,{A9315E3F-87CD-4595-AD2F-E9DBAAB77513},,,,
43,06037534700,Los Angeles,Unincorporated,4488,1,1,1,1,1,1,0,1,1,6,2023,{EF153FD1-229D-4297-809B-41D10A940078},,,,
44,06037228600,Los Angeles,Los Angeles,5226,1,1,1,0,1,0,1,1,1,5,2023,{491F5323-FD92-44B1-A794-0EDFB77A6CEC},,,,
45,06037222600,Los Angeles,Los Angeles,5525,1,1,0,0,1,0,1,1,1,4,2023,{E9BAD18C-7025-4C13-B2E3-BAD2549215E2},,,,
46,06037482502,Los Angeles,Rosemead,3196,1,1,1,0,1,0,1,1,1,5,2023,{040C2550-B93F-4320-A12A-EABD330E8D93},,,,
47,06037208904,Los Angeles,Los Angeles,4197,1,1,1,0,1,0,1,1,0,4,2023,{9E35E088-F7BB-4270-8D30-DD104D4BE103},,,,
48,06037302202,Los Angeles,Glendale,5401,1,0,1,1,1,0,1,1,0,5,2023,{170888D8-4B42-40EC-8D5E-AB781F4DEE0C},,,,
49,06037123602,Los Angeles,Los Angeles,3412,1,0,1,1,0,0,1,0,0,3,2023,{D1F708C8-9087-4B73-AD76-8BC1F4BC7D65},,,,
50,06037122410,Los Angeles,Los Angeles,3615,1,1,1,1,1,0,0,1,1,5,2023,{90AB8083-7B91-44C4-B408-620DA72048D1},,,,
51,06037131300,Los Angeles,Los Angeles,4560,1,1,1,0,0,0,1,1,1,4,2023,{E3AFFC94-17B6-46EE-BB0A-40813F9F8985},,,,
52,06037115302,Los Angeles,Los Angeles,3645,1,1,1,1,1,0,1,1,0,5,2023,{3A82636D-4998-4598-A459-36D9FF51AA13},,,,
53,06037910501,Los Angeles,Palmdale,5448,1,1,1,1,0,1,1,1,1,6,2023,{C08ADDE9-B6CB-46DE-BE16-1007C087A5D0},,,,
54,06037576402,Los Angeles,Long Beach,4760,1,1,1,1,1,0,1,1,1,6,2023,{3ECE5663-44C2-4ECC-ACF1-A7E3B062CC6B},,,,
55,06111005403,Ventura,Camarillo,2614,1,1,1,1,0,0,1,0,1,4,2023,{C2D47B3C-3FE9-4264-89DA-5B5A67A00B5C},,,,
56,06037204200,Los Angeles,Los Angeles,3459,1,1,1,0,1,0,1,1,1,5,2023,{4C8BE760-10A8-431E-9459-1A3DA93E7BBA},,,,
57,06037241300,Los Angeles,Los Angeles,2539,1,1,1,1,1,0,1,1,0,5,2023,{7D9FAF2C-2639-42FF-B842-79113A8594FD},,,,
58,06037228410,Los Angeles,Los Angeles,3388,1,1,1,0,1,0,1,1,1,5,2023,{1F74E412-A152-4292-95F7-D1D69BF22A3B},,,,
59,06037531800,Los Angeles,Unincorporated,4809,1,1,1,1,1,0,0,1,1,5,2023,{E119C571-DFB6-4F78-B474-952E01E7076A},,,,
60,06037209820,Los Angeles,Los Angeles,2741,1,1,1,1,1,0,1,1,1,6,2023,{1BD51FF7-26B5-428D-BBBC-2B3DE3DBB5B5},,,,
61,06037211420,Los Angeles,Los Angeles,3451,1,1,0,0,1,0,1,1,0,3,2023,{FBFA0EA6-6321-4798-AF2B-D170A5B9577F},,,,
62,06037191810,Los Angeles,Los Angeles,2981,1,1,0,0,1,0,1,1,0,3,2023,{9D7AFC54-6A91-4607-AD0D-050E93634C45},,,,
63,06037192620,Los Angeles,Los Angeles,3415,1,1,1,0,1,0,1,1,1,5,2023,{EE2F9679-65F2-4EBE-88BD-9F50C37635BA},,,,
64,06037127910,Los Angeles,Los Angeles,4859,1,1,1,1,1,0,1,1,1,6,2023,{FF7AF3B5-5540-4436-AF3E-3850D2D92A83},,,,
65,06037123205,Los Angeles,Los Angeles,2767,1,1,1,1,1,0,1,1,1,6,2023,{2F16428E-FCFF-4151-81B3-F88DCC9BC267},,,,
66,06037575101,Los Angeles,Long Beach,4210,1,1,1,1,0,0,1,1,1,5,2023,{86EA797F-6E22-4CCE-826C-E3677D8DD62E},,,,
67,06037900102,Los Angeles,Unincorporated,761,1,0,1,1,1,0,1,1,0,5,2023,{6DF9F660-3BE0-4734-A5B9-1790E439D5A7},,,,
68,06111005503,Ventura,Camarillo,4200,1,1,1,1,0,1,1,0,1,5,2023,{60AC399D-4C87-4917-B6EE-7BE833CC6F78},,,,
69,06037533403,Los Angeles,Maywood,2667,1,1,1,1,1,0,1,1,0,5,2023,{8106136E-88CE-491F-B2F0-3AE1BB88FDCE},,,,
70,06037134305,Los Angeles,Los Angeles,3726,1,1,1,0,1,0,1,1,1,5,2023,{A4A21D61-A723-4B7F-A6D9-B18E8F96046E},,,,
71,06037910706,Los Angeles,Palmdale,6873,1,1,1,0,0,1,1,1,1,5,2023,{48CBAEFF-D3BA-42D4-9B57-6186BE4FB41C},,,,
72,06037910601,Los Angeles,Palmdale,6806,1,1,1,1,0,1,1,1,1,6,2023,{96403739-27B2-47C7-8702-FFA9E768B0D7},,,,
73,06037575102,Los Angeles,Long Beach,4336,1,1,1,0,1,0,1,1,1,5,2023,{E882B906-A178-4555-8DD8-9011B8CC614C},,,,
74,06037543201,Los Angeles,Compton,3529,0,1,1,1,0,0,1,1,1,5,2023,{954BE270-88C4-4E27-BCE4-F0B4A2ED78A9},,,,
75,06037553602,Los Angeles,Paramount,5087,1,1,1,0,0,1,1,1,1,5,2023,{9CCDB259-7AA9-4848-A1CD-1147D2878B2C},,,,
76,06037535604,Los Angeles,South Gate,4303,1,1,1,0,1,1,1,1,1,6,2023,{8E60185B-3EB7-426E-BCBE-E82BAC5D604A},,,,
77,06037532900,Los Angeles,Unincorporated,6698,1,1,1,0,1,0,1,1,1,5,2023,{481EE2FB-290F-4FA5-B704-E0909C480F68},,,,
78,06037576302,Los Angeles,Long Beach,3318,1,1,1,0,1,0,1,1,1,5,2023,{E90B9086-2E3B-44A0-B0DC-403369360A30},,,,
79,06037910002,Los Angeles,Unincorporated,7639,1,1,1,1,0,0,1,1,0,4,2023,{05F982B6-23CE-4BC7-9F58-D914E89D2FD2},,,,
80,06037123420,Los Angeles,Los Angeles,4731,1,0,0,1,1,0,1,1,1,5,2023,{59CEEE20-7C86-4537-885B-3E8C290933A3},,,,
81,06037134101,Los Angeles,Los Angeles,5262,1,1,1,0,1,0,1,1,0,4,2023,{6B4B0BBB-6F86-46C8-9C4F-6A2D2CFFA48A},,,,
82,06037540502,Los Angeles,Lynwood,6751,1,1,1,0,1,0,1,1,1,5,2023,{931A46B5-1EE8-44DB-A1D1-55EE37A5CBCF},,,,
83,06037242600,Los Angeles,Los Angeles,4670,1,1,1,1,1,0,1,1,1,6,2023,{EF6E8C5E-06A1-453B-B629-D5ED38C4BDC8},,,,
84,06037123203,Los Angeles,Los Angeles,3089,1,1,1,1,1,0,1,1,1,6,2023,{1D43C4A0-4EF6-4E36-A1B8-EE1143B2D177},,,,
85,06037237600,Los Angeles,Los Angeles,4021,1,1,1,1,1,0,1,1,1,6,2023,{38DAEE77-FE46-4D2B-906B-52B195A117BB},,,,
86,06037204410,Los Angeles,Los Angeles,2633,1,1,1,1,1,0,0,1,0,4,2023,{5C680BE7-4AA0-41E5-A17D-FAC2006B4C73},,,,
87,06037296220,Los Angeles,Los Angeles,3920,1,1,1,1,1,1,0,1,1,6,2023,{3A1E09AC-DABB-472E-9D9E-47CFA17EFEDA},,,,
88,06037228500,Los Angeles,Los Angeles,4818,1,1,1,0,1,0,1,1,1,5,2023,{22265600-0810-4775-9787-35E87BB649BF},,,,
89,06037183810,Los Angeles,Los Angeles,4369,1,1,1,1,1,0,0,1,1,5,2023,{6F49F67D-3F7D-4A79-AAE0-CECFD9B2C83F},,,,
90,06037575803,Los Angeles,Long Beach,3175,1,1,1,1,1,0,1,1,1,6,2023,{748DAB2A-DA0F-4563-85BC-D4EBDAE66BBE},,,,
91,06037554405,Los Angeles,Bellflower,3554,1,1,1,1,0,0,1,0,1,4,2023,{387E5F22-08E9-4ABF-9A0A-C3224486475A},,,,
92,06037131400,Los Angeles,Los Angeles,6364,0,1,1,1,0,0,1,0,1,4,2023,{091ED9FF-B13F-4A19-B883-93D9BA2B9314},,,,
93,06037131600,Los Angeles,Los Angeles,4997,1,1,1,1,0,0,1,1,0,4,2023,{E31C21D6-01D4-45C3-BBE7-B266E9EB54CF},,,,
94,06037302103,Los Angeles,Glendale,5109,1,0,1,1,1,0,0,0,0,3,2023,{709CDF1F-43CF-43E0-B52A-D32C611443E6},,,,
95,06037191410,Los Angeles,Los Angeles,3372,1,1,0,1,1,0,0,1,1,4,2023,{F5DC0319-DF24-49BC-9576-7633555A2039},,,,
96,06037541606,Los Angeles,Compton,2720,1,1,1,0,0,1,1,1,1,5,2023,{7E16EFC9-8998-4B9B-97D3-1425B810922D},,,,
97,06037234800,Los Angeles,Los Angeles,3489,1,1,1,0,0,0,1,1,1,4,2023,{54D3DA44-4FBD-46E1-92E5-8B4EAB3C4769},,,,
98,06037500600,Los Angeles,Pico Rivera,5452,0,1,1,0,1,0,1,1,0,4,2023,{D9E367C3-9DEC-40F0-8584-E90B224E2DFD},,,,
99,06037570601,Los Angeles,Long Beach,6243,0,1,1,1,0,0,0,1,1,4,2023,{932DA933-D02D-4CF1-BF5A-E94E9C6A160E},,,,
100,06037980021,Los Angeles,Los Angeles,47,0,1,1,1,0,0,1,0,0,3,2023,{12036FCE-C6EE-43D2-839A-8DB815786182},,,,
101,06037211802,Los Angeles,Los Angeles,4457,1,1,0,0,1,0,1,0,0,2,2023,{248B0897-7E9C-43DC-AB46-2CC5F29D4408},,,,
102,06037191720,Los Angeles,Los Angeles,3447,1,1,0,1,1,0,1,1,0,4,2023,{99C4A6B6-02EC-45A8-8B7A-34ABC28F36F0},,,,
103,06037122420,Los Angeles,Los Angeles,5077,1,1,1,0,1,0,1,1,1,5,2023,{51185902-FFF0-4B03-A7C2-1A9B00F4D2A9},,,,
104,06037128220,Los Angeles,Los Angeles,2779,1,0,0,1,1,0,1,1,0,4,2023,{CDE6D83A-BA6D-4D7B-9350-90A5FF5A1B7A},,,,
105,06037297201,Los Angeles,Los Angeles,4421,1,1,1,0,1,1,1,1,1,6,2023,{139FC45D-5789-4FFD-A551-F48DE4C323E2},,,,
106,06037115403,Los Angeles,Los Angeles,3373,1,1,1,0,1,0,1,1,0,4,2023,{A9C28658-E348-4687-8D9C-3FE819C4267F},,,,
107,06037127103,Los Angeles,Los Angeles,3103,1,0,0,1,1,0,1,0,1,4,2023,{4823CA79-81B7-40BA-A4DF-3CC8E50BD19B},,,,
108,06037127603,Los Angeles,Los Angeles,2757,1,1,1,0,1,0,1,1,1,5,2023,{3637423B-FD0D-48F7-A9CA-41FAA7CB8FA2},,,,
109,06037127803,Los Angeles,Los Angeles,4914,1,0,1,1,1,0,1,1,0,5,2023,{9E9987D5-6A59-4D5D-B85F-E7EAA684D001},,,,
110,06037127806,Los Angeles,Los Angeles,3083,1,1,1,0,1,0,1,1,1,5,2023,{137A7C8D-BD1E-4D62-828B-C16147DB20D5},,,,
111,06037128601,Los Angeles,Los Angeles,4834,1,0,1,0,0,0,1,1,1,4,2023,{F54EA43E-6A02-4A98-AE8A-002F1634FE85},,,,
112,06037131702,Los Angeles,Los Angeles,4135,0,1,1,1,1,0,1,0,0,4,2023,{D51B6E09-274C-4651-A98E-9798F0030A31},,,,
113,06037132101,Los Angeles,Los Angeles,4592,1,0,1,0,1,0,1,0,1,4,2023,{3A6E0D3F-6AF8-4D8A-97F2-98E5A9C27C81},,,,
114,06037461502,Los Angeles,Pasadena,6355,1,1,1,1,0,0,1,1,1,5,2023,{082B644C-E2C2-4908-82DA-62D3B1769012},,,,
115,06037275102,Los Angeles,Los Angeles,4163,1,1,1,0,0,1,0,1,0,3,2023,{A4A56348-B880-4EE1-A115-09EDB29BCBB4},,,,
116,06037462201,Los Angeles,Pasadena,3701,1,0,1,1,1,1,1,0,0,5,2023,{EA8111A3-0DEE-4763-A5B6-BD725DD2C852},,,,
117,06037461901,Los Angeles,Pasadena,4950,1,1,1,0,1,1,1,1,0,5,2023,{58BA48E9-FAC5-448C-B9EF-87807077C2A3},,,,
118,06037461902,Los Angeles,Pasadena,1919,1,0,1,1,1,0,1,0,0,4,2023,{57DFC919-07FF-4D60-8D3A-542569ECE13C},,,,
119,06037462002,Los Angeles,Pasadena,3646,1,1,1,0,1,1,1,1,1,6,2023,{429B8D8E-88AB-4513-8A0E-F675C515CCC9},,,,
120,06037462301,Los Angeles,Pasadena,4780,1,1,0,1,0,0,1,1,0,3,2023,{60C81775-8AAE-4C78-9F94-4DB645115A7C},,,,
121,06037127102,Los Angeles,Los Angeles,5166,1,1,1,0,1,0,1,1,1,5,2023,{C2493A1B-451F-4D6F-B92E-499E8376494A},,,,
122,06037231720,Los Angeles,Los Angeles,5295,1,1,1,1,1,0,1,1,1,6,2023,{56299E04-0DE2-488A-9E17-43B864A59697},,,,
123,06037212410,Los Angeles,Los Angeles,4134,1,1,0,0,1,0,1,1,0,3,2023,{8ADC0094-5B26-4783-B7B9-85ACF38CD611},,,,
124,06037482201,Los Angeles,Monterey Park,3786,1,1,1,0,1,0,1,1,0,4,2023,{05E86DB7-B910-45F3-BC05-2C4E172CFFD4},,,,
125,06037482202,Los Angeles,Monterey Park,5209,1,1,1,0,1,0,1,1,1,5,2023,{8EA80728-51A2-424F-BFE5-DC6854510822},,,,
126,06037482301,Los Angeles,San Gabriel,5521,1,1,1,0,1,1,1,1,0,5,2023,{9AE89A49-2F77-4AFC-956A-1717A1AF3FE7},,,,
127,06037482303,Los Angeles,Rosemead,5170,1,1,1,0,1,1,1,1,0,5,2023,{AE9FFA18-1B3B-4F33-9E05-1CDA8E066A04},,,,
128,06037297110,Los Angeles,Los Angeles,4625,1,1,0,1,0,1,1,1,0,4,2023,{200F9B02-635D-4593-B4F3-5DB4C9D0DC6D},,,,
129,06037433304,Los Angeles,El Monte,4237,1,1,1,0,1,1,1,1,1,6,2023,{A60B6759-75BD-4B5A-AE0F-3B31B9A36F14},,,,
130,06037482304,Los Angeles,Rosemead,2834,1,1,1,1,1,0,1,1,1,6,2023,{C5480985-B356-4BEC-91B5-5CCB803C2843},,,,
131,06037482401,Los Angeles,Rosemead,3338,1,1,1,1,1,0,1,1,0,5,2023,{7B4A16E4-80C5-47B6-B4D1-F48554E6B5F9},,,,
132,06037701902,Los Angeles,Santa Monica,5022,1,0,1,1,0,0,1,0,0,3,2023,{652CBD02-D638-405B-AF13-32A3B3138B6E},,,,
133,06037431501,Los Angeles,Temple City,4197,1,1,1,1,1,0,1,0,0,4,2023,{B5EFDCD9-CD8B-47D4-BB97-644671F7F67F},,,,
134,06037431502,Los Angeles,Unincorporated,4310,0,1,1,1,1,1,1,0,0,5,2023,{2DDB753C-D8FD-4D39-987C-D22974088DF7},,,,
135,06037433305,Los Angeles,El Monte,4990,1,1,1,1,1,1,1,1,1,7,2023,{F7B7382C-AB9D-43A0-BEB4-136320EB4116},,,,
136,06037433306,Los Angeles,El Monte,3222,1,1,1,1,1,1,1,1,1,7,2023,{FD6574E7-F6E9-4AE9-84C8-B4C1A7BA1C93},,,,
137,06037482503,Los Angeles,Rosemead,4048,0,1,1,0,1,0,0,1,1,4,2023,{6ED66AD9-86F3-48C2-8589-A467DED11DFF},,,,
138,06037533701,Los Angeles,Maywood,2928,1,1,1,0,1,0,1,1,1,5,2023,{C06247B5-69F9-4E35-B17F-9BBE05EBD9E3},,,,
139,06037433402,Los Angeles,El Monte,4894,1,1,1,0,1,1,0,1,0,4,2023,{093025A3-CFCE-4A3C-9468-4DBDB1FCE21D},,,,
140,06037480011,Los Angeles,Unincorporated,5218,0,1,1,1,1,1,1,0,1,6,2023,{8C678B2B-3830-485B-88B1-93570871F0C4},,,,
141,06037481711,Los Angeles,Monterey Park,4465,1,1,1,1,1,0,1,1,0,5,2023,{3E5A4629-38B8-4834-AD1A-13CF773AB8D8},,,,
142,06037531101,Los Angeles,Unincorporated,5454,1,1,1,0,1,0,0,1,0,3,2023,{320A51C3-193D-40E4-9D7B-408EFF988456},,,,
143,06037533105,Los Angeles,Huntington Park,2577,1,1,1,0,1,0,1,1,0,4,2023,{6F87245D-BE23-4CDB-B0A4-924782B9ABAA},,,,
144,06037541500,Los Angeles,Unincorporated,6084,1,1,1,0,0,1,1,1,1,5,2023,{4C30C6A2-2C4A-4039-8F56-B1398F542DC1},,,,
145,06037552601,Los Angeles,Norwalk,5574,0,1,1,1,1,0,0,1,0,4,2023,{28BCDFF5-6EA9-4BB5-BB3D-C9AFFCA7F916},,,,
146,06037601002,Los Angeles,Inglewood,5173,1,1,1,1,0,0,1,1,1,5,2023,{466990B0-DAB3-4DA3-BBBF-9FC24E098F08},,,,
147,06037117520,Los Angeles,Los Angeles,4322,1,1,1,0,0,0,1,1,1,4,2023,{66BF34DA-8359-47DF-9E71-C2EB547AF76C},,,,
148,06037482600,Los Angeles,Monterey Park,6857,0,1,1,1,1,0,1,0,1,5,2023,{CFBA1F73-BE5D-4AE7-ADF1-6BB0838C01CC},,,,
149,06037482701,Los Angeles,Monterey Park,4115,0,1,1,1,0,0,0,0,1,3,2023,{6E871398-620B-48D9-A4F9-90BC6444E956},,,,
150,06037572500,Los Angeles,Long Beach,3681,1,1,1,1,0,0,1,1,1,5,2023,{6E4A2631-AC4F-4D16-9C0E-CD7E7B83E3D1},,,,
151,06037132102,Los Angeles,Los Angeles,5347,1,0,1,1,1,0,1,1,1,6,2023,{8866160C-C7C7-4FCB-B7B6-72994DDF2F00},,,,
152,06037132501,Los Angeles,Los Angeles,4785,0,1,1,0,1,0,1,1,1,5,2023,{3138D4ED-C79E-4207-9D79-803E054C0E3F},,,,
153,06037132502,Los Angeles,Los Angeles,3207,1,0,1,1,1,0,1,0,0,4,2023,{5097C3DC-84DB-4FD1-8324-72C8864ED8AB},,,,
154,06037134002,Los Angeles,Los Angeles,3760,1,0,1,1,0,0,1,1,1,5,2023,{33C6F476-2951-49D0-8144-2110DBC6E379},,,,
155,06037134904,Los Angeles,Los Angeles,4701,0,1,0,1,0,0,1,1,1,4,2023,{5A902800-A012-4D01-B403-D24F226905F5},,,,
156,06037480303,Los Angeles,Alhambra,4416,0,1,0,0,1,0,1,0,1,3,2023,{3AB91626-AD7F-4B9C-8340-7F3CCE1293E7},,,,
157,06037910712,Los Angeles,Palmdale,3307,1,1,1,1,0,0,1,1,0,4,2023,{E67EE32D-94B1-4F9E-96EC-3AB7DB6094C5},,,,
158,06037910713,Los Angeles,Palmdale,6916,1,1,1,1,0,1,1,1,1,6,2023,{E3F5E5F9-2BCD-48C0-894B-3659E5B968CF},,,,
159,06037575103,Los Angeles,Long Beach,5239,1,1,0,0,0,0,1,1,1,3,2023,{C7FAB51E-F863-48B8-9511-10C22B072AB4},,,,
160,06037575202,Los Angeles,Long Beach,3851,1,1,1,1,1,0,1,1,1,6,2023,{9F7D88C5-C4FA-46B3-9BCA-35A1C472EDCC},,,,
161,06037603102,Los Angeles,Gardena,3632,0,1,1,1,1,1,0,1,1,6,2023,{11D8A7E1-B443-4AD1-A526-6E0458A236C7},,,,
162,06037433307,Los Angeles,El Monte,2743,1,1,1,0,1,1,1,1,1,6,2023,{E7D26F68-5BF4-489B-8349-CB619233A212},,,,
163,06037120300,Los Angeles,Los Angeles,4982,1,1,1,1,1,0,1,0,0,4,2023,{65B70DB1-3A90-4091-8BBD-392B5CBC6505},,,,
164,06037120400,Los Angeles,Los Angeles,6155,1,1,0,1,1,0,1,1,1,5,2023,{747DDD09-29D7-4212-BFF3-3A356632E5D0},,,,
165,06037121020,Los Angeles,Los Angeles,3626,1,1,1,0,1,0,1,1,0,4,2023,{5A8409B4-480B-4FBE-8677-C4CC33A21438},,,,
166,06037570404,Los Angeles,Long Beach,3901,1,1,1,0,0,0,1,1,0,3,2023,{19C8009C-935C-4DD4-8FC0-07A515BB6BFB},,,,
167,06037121210,Los Angeles,Los Angeles,3109,0,1,1,1,1,0,1,1,1,6,2023,{D426BEAF-84F3-4E32-BB5F-363BCF07E592},,,,
168,06037124300,Los Angeles,Los Angeles,2894,1,0,1,1,1,0,1,1,0,5,2023,{B2D99DDF-E76E-4B47-A37F-96D2082458E6},,,,
169,06037183221,Los Angeles,Los Angeles,3530,1,1,0,0,1,1,1,0,0,3,2023,{6F3F6549-23A8-4F59-A791-B985F7A1824E},,,,
170,06037183401,Los Angeles,Los Angeles,2436,0,1,1,1,0,0,1,1,0,4,2023,{3925B0D9-41A4-4CED-B24A-A2FB7A066716},,,,
171,06037910606,Los Angeles,Palmdale,3281,1,1,1,1,0,1,1,1,1,6,2023,{113F570F-F5B9-42BE-BB23-096C04CE1C6A},,,,
172,06037121900,Los Angeles,Los Angeles,3548,0,1,1,1,1,0,1,1,1,6,2023,{26582AAF-D7B6-4195-B800-871D46E72518},,,,
173,06037122120,Los Angeles,Los Angeles,5342,1,1,1,1,0,1,1,1,1,6,2023,{F7157B76-655D-41FA-922B-1608AFFF7C2D},,,,
174,06037122200,Los Angeles,Los Angeles,3662,1,1,1,0,1,1,1,1,1,6,2023,{937F4B3A-41D7-4F73-9921-CD5B3681D396},,,,
