OBJECTID,GEOID,County,City,TotalPop,LowInc_PEC,POC_PEC,VulAge_PEC,PWD_PEC,LEP_PEC,LVTA_PEC,HHCostB_PEC,NoHS_PEC,SinParHH_PEC,OthPriorityPops,YEAR,GlobalID,created_user,created_date,last_edited_user,last_edited_date
623,06059087901,Orange,Stanton,3672,1,1,1,1,1,0,1,1,0,5,2023,{CA7EF799-AA30-4392-B7CA-C280530DAAC1},,,,
624,06037575201,Los Angeles,Long Beach,4986,1,1,1,1,1,0,0,1,1,5,2023,{65A490D0-325C-4A38-B074-D99B6ECE801A},,,,
625,06037575401,Los Angeles,Long Beach,4714,1,1,1,1,1,0,1,1,1,6,2023,{75B60DAE-3799-4F28-B4D9-0FF51543FFC6},,,,
626,06037575402,Los Angeles,Long Beach,3878,1,1,1,1,1,0,1,1,1,6,2023,{2AB3FE45-2EC2-4808-B496-3C26DFF38970},,,,
627,06037575802,Los Angeles,Long Beach,5171,1,1,1,1,0,0,1,1,1,5,2023,{2E82DE2A-FA8B-4ABC-A6F1-638643950C15},,,,
628,06037575901,Los Angeles,Long Beach,3675,1,1,1,1,0,0,1,0,1,4,2023,{77907A77-B326-406D-90D5-F78D98B151F1},,,,
629,06037603101,Los Angeles,Gardena,4812,1,1,0,0,0,0,1,0,0,1,2023,{3052F638-A5DB-4B22-AE2C-7C065EC06EEE},,,,
630,06037603302,Los Angeles,Gardena,4129,0,1,1,1,1,0,1,0,0,4,2023,{C1640A94-9F75-41EE-8AAC-9D0013E1EE75},,,,
631,06037603400,Los Angeles,Gardena,3959,0,1,1,1,1,0,0,1,0,4,2023,{1CE5FEF0-055B-4CE0-8CB3-C966DA5F2CA7},,,,
632,06065045213,Riverside,Indio,6960,1,1,0,1,1,0,1,0,0,3,2023,{91FD9655-9B6C-42B1-ABA0-D047742DAF78},,,,
633,06037576403,Los Angeles,Long Beach,5303,1,1,1,0,0,0,1,1,1,4,2023,{879660A5-F853-475C-8F7D-51EB6060EB13},,,,
634,06037576901,Los Angeles,Long Beach,5165,1,1,0,0,1,0,0,1,0,2,2023,{E561A35C-D782-42BF-B9E0-640571AD7886},,,,
635,06037609900,Los Angeles,Unincorporated,1964,0,1,1,1,0,0,1,0,1,4,2023,{B072249B-1A9E-4BAA-8C7A-15FBA5F6DA03},,,,
636,06065030900,Riverside,Riverside,3044,1,1,0,0,0,1,1,1,1,4,2023,{CEAB48D4-2102-44E4-9B85-04561F2824AA},,,,
637,06111004901,Ventura,Oxnard,7242,0,1,1,0,1,1,0,1,1,5,2023,{DA2E68DD-0F2F-42EF-B41C-464765044B57},,,,
638,06111004902,Ventura,Oxnard,4713,1,1,1,1,1,1,0,1,0,5,2023,{A760896B-805F-4297-BCF4-CA9B7EDF66EF},,,,
639,06037504101,Los Angeles,La Mirada,4588,1,1,1,0,1,1,1,1,0,5,2023,{5B695E95-637D-402E-BCE7-8B5C04406B87},,,,
640,06037534406,Los Angeles,Cudahy,4477,1,1,1,0,0,1,1,1,1,5,2023,{AB155FF5-B807-4D4F-A3D7-C8E17AEE18DC},,,,
641,06037534502,Los Angeles,Huntington Park,3739,1,1,1,0,0,0,1,1,1,4,2023,{CF97B5C1-C882-41D7-9708-E9731DEB6174},,,,
642,06037534802,Los Angeles,Unincorporated,2684,1,1,1,1,1,0,0,1,1,5,2023,{F243E2E3-75C6-4EE5-B24F-2D340B1008DD},,,,
643,06037534803,Los Angeles,Unincorporated,4746,1,1,1,1,1,0,0,1,1,5,2023,{ACF47D8A-DDF3-4B3A-8443-49345DBFB198},,,,
644,06037534804,Los Angeles,Unincorporated,4535,1,1,1,0,1,0,0,1,1,4,2023,{47DDCBF2-936E-4E77-9648-DD23B3BB68D2},,,,
645,06065042720,Riverside,Unincorporated,5695,1,1,1,0,0,0,0,1,0,2,2023,{B1DBB4DB-7B1E-4221-B015-DC4A8B7FCEEF},,,,
646,06065044510,Riverside,Desert Hot Springs,6048,1,1,1,1,1,1,1,1,1,7,2023,{9C9C7B47-A90A-4160-8BE3-F7A909DE623A},,,,
647,06037600100,Los Angeles,Unincorporated,7320,1,1,1,1,1,0,1,1,1,6,2023,{E095B686-3131-4E3A-B0DE-895455387F86},,,,
648,06037600201,Los Angeles,Unincorporated,5228,1,1,1,0,1,0,1,1,1,5,2023,{BED49BC3-353B-4C10-8CB8-D6EB53CD3B0C},,,,
649,06037600202,Los Angeles,Unincorporated,7585,1,1,1,1,0,0,1,1,1,5,2023,{A7C64DFA-F47E-4B45-BA9D-08E2614A39BB},,,,
650,06037600302,Los Angeles,Unincorporated,3281,1,1,1,1,0,0,1,0,1,4,2023,{082FC317-9D42-48D7-8C44-FEF9263C06CA},,,,
651,06037600400,Los Angeles,Unincorporated,4203,1,1,1,1,0,0,1,0,1,4,2023,{84A2B866-2AD9-4CFA-8DDD-CB83F5217E8C},,,,
652,06037600501,Los Angeles,Inglewood,2739,0,1,1,1,0,0,1,0,0,3,2023,{9ADBC158-2FB6-40A1-A968-4734429F305A},,,,
653,06065043010,Riverside,Lake Elsinore,5178,1,1,1,0,0,0,1,1,0,3,2023,{F5A0634D-E033-488D-AAEE-097901EA02E4},,,,
654,06037535400,Los Angeles,Unincorporated,3325,1,1,1,0,1,0,0,1,1,4,2023,{3FB6BC89-172E-4E95-B9BC-3C7A999312D6},,,,
655,06037534900,Los Angeles,Unincorporated,5716,1,1,1,0,1,0,1,1,0,4,2023,{FDE3ADE9-75F0-4880-9018-311F34FC038F},,,,
656,06037535101,Los Angeles,Unincorporated,8319,1,1,1,0,1,0,0,1,0,3,2023,{0F0F45F7-1CD5-4E80-B928-6BC3A10175C7},,,,
657,06037535102,Los Angeles,Unincorporated,4549,1,1,1,0,1,0,1,1,1,5,2023,{2ACAF66E-DB8D-41B0-8A9D-11A2AF9BB29C},,,,
658,06037535200,Los Angeles,Unincorporated,6469,1,1,1,0,1,0,1,1,1,5,2023,{905E5764-F60F-4EFB-B3D6-6309BEF860B6},,,,
659,06037535300,Los Angeles,Unincorporated,6521,1,1,1,0,1,0,1,1,1,5,2023,{FE1209EE-169E-40DF-9150-3EBE29598755},,,,
660,06111003802,Ventura,Oxnard,2862,1,1,1,0,1,1,1,1,1,6,2023,{89636042-9570-4B1F-8FB4-985609C0A66C},,,,
661,06037600911,Los Angeles,Inglewood,3391,0,1,0,1,0,0,1,1,1,4,2023,{9B4586EF-989B-40C5-8D2C-A3315184A784},,,,
662,06037536000,Los Angeles,South Gate,3434,1,1,1,0,1,0,0,1,1,4,2023,{B12EA410-160F-42FA-A2DA-7D73A24B43B8},,,,
663,06037535502,Los Angeles,South Gate,5338,1,1,0,0,1,1,0,1,0,3,2023,{EB02810B-8F7B-4A2E-B77C-A8DA2487904D},,,,
664,06037535603,Los Angeles,South Gate,3879,1,1,1,0,1,0,1,1,1,5,2023,{87D8A087-D8BF-40F9-9BD8-FDB85C734569},,,,
665,06065047201,Riverside,Unincorporated,1884,1,0,1,1,1,0,1,0,0,4,2023,{65321DEB-A6C0-4DD3-8025-16DEEAA3A883},,,,
666,06037535605,Los Angeles,South Gate,4750,1,1,1,0,1,0,0,1,1,4,2023,{108F16D5-0DC1-4DA2-8AA0-C4304D38AC41},,,,
667,06059087505,Orange,Anaheim,4676,1,1,1,0,0,1,1,1,1,5,2023,{AF6AE6AD-4A53-4046-9E48-FABB6B3C3611},,,,
668,06111004711,Ventura,Oxnard,3309,1,1,1,1,1,1,0,1,1,6,2023,{A23F6D0A-38F1-468D-8B5B-D9E625DBA140},,,,
669,06111004715,Ventura,Unincorporated,5057,1,1,0,1,1,1,1,1,1,6,2023,{D48A6A25-A82C-44FB-9FDD-B199C7F31570},,,,
670,06111004717,Ventura,Oxnard,4393,1,1,1,0,1,1,1,1,0,5,2023,{6638D3F8-0EC0-4C2C-8BBE-A65A43063847},,,,
671,06111005004,Ventura,Oxnard,9240,0,1,1,0,1,1,1,0,1,5,2023,{7DC507FC-B14E-4D44-BD41-E0E3D99CE9AF},,,,
672,06037600602,Los Angeles,Inglewood,2734,1,1,1,1,0,0,1,1,1,5,2023,{F08DB836-6E24-4384-B6A5-1C83C9B7FB97},,,,
673,06037600703,Los Angeles,Inglewood,1671,0,1,1,1,0,0,1,0,1,4,2023,{690DB142-7E7E-4AC7-AE42-EF5A5B1DF82E},,,,
674,06037600704,Los Angeles,Inglewood,3279,0,1,1,1,0,0,1,0,1,4,2023,{6495164B-C4B2-4A55-88DD-2C5C39470846},,,,
675,06037600802,Los Angeles,Inglewood,2717,0,1,1,1,0,0,1,0,1,4,2023,{D0DDB988-765E-4CD4-96C9-2FA21216FB38},,,,
676,06037600902,Los Angeles,Inglewood,6385,1,1,1,1,0,0,1,0,1,4,2023,{8B7136C8-A810-4410-8D4D-D5C706501434},,,,
677,06037530101,Los Angeles,Montebello,5388,1,1,1,1,1,1,1,1,1,7,2023,{D08564E3-F220-4259-A410-381A41C12C4D},,,,
678,06037530102,Los Angeles,Montebello,4889,1,1,1,1,1,0,0,1,1,5,2023,{A621FC06-C8F0-4A34-A5CD-AC1DFC038F39},,,,
679,06037530203,Los Angeles,Montebello,2525,1,1,0,1,1,1,1,1,1,6,2023,{6CEF3623-1E44-4D04-A16B-8191AE0F5058},,,,
680,06037530204,Los Angeles,Montebello,3882,1,1,0,1,0,0,0,1,1,3,2023,{808CBD44-C54D-4563-93E4-E0A7650E81AA},,,,
681,06037535701,Los Angeles,South Gate,5175,1,1,1,1,1,1,0,1,1,6,2023,{7F635899-18C0-43D8-ABED-817B1627DDB8},,,,
682,06037535702,Los Angeles,South Gate,5913,1,1,1,0,1,0,1,1,1,5,2023,{72C621DC-DC74-4D8E-84AD-BCD76122921B},,,,
683,06037535802,Los Angeles,South Gate,6192,1,1,1,0,1,0,1,1,1,5,2023,{B18D258B-C4C4-4C72-A74F-BB25AE23F1EB},,,,
684,06037535803,Los Angeles,South Gate,3781,1,1,1,0,1,0,1,1,1,5,2023,{C324179F-FA87-4A1B-A13A-FD0A4E2F7C03},,,,
685,06037535606,Los Angeles,South Gate,2013,1,1,1,0,1,0,1,1,1,5,2023,{58677ADD-5F7E-4C02-8E14-83B0C0DD6D27},,,,
686,06037535804,Los Angeles,South Gate,6338,1,1,1,0,1,0,1,1,1,5,2023,{B15DB654-EEB5-458B-96D8-1CE67AEBBB59},,,,
687,06037535901,Los Angeles,South Gate,6106,1,1,1,0,1,0,1,1,1,5,2023,{FA284389-C9E9-4F6F-A8DD-59386AFF1A98},,,,
688,06037600912,Los Angeles,Inglewood,4894,1,1,0,1,0,0,0,1,0,2,2023,{6F6A7340-7D73-49CC-AD76-10315C8084E9},,,,
689,06111008900,Ventura,Oxnard,3774,1,1,1,0,0,1,0,1,1,4,2023,{C88D73FD-11B9-4422-A6A8-30A6FCB535DD},,,,
690,06037535607,Los Angeles,South Gate,4344,1,1,1,1,1,0,1,1,1,6,2023,{3DE64435-447B-429F-AE2D-FCF301424636},,,,
691,06037536102,Los Angeles,South Gate,3201,1,1,1,1,1,0,1,1,1,6,2023,{8CD41FAB-BC62-4BC7-B890-6B82E3C3D0AF},,,,
692,06037540000,Los Angeles,Lynwood,7295,1,1,1,0,0,0,1,1,0,3,2023,{2B37978E-5D3D-43DA-A4EF-4F5A638863F0},,,,
693,06037540101,Los Angeles,Lynwood,6596,1,1,1,0,0,0,1,1,1,4,2023,{C571A9ED-8A2D-493A-8590-2D41EB306BD6},,,,
694,06037540102,Los Angeles,Lynwood,6016,1,1,1,0,0,0,1,1,1,4,2023,{7536595A-A035-4239-9779-BE131D07D714},,,,
695,06065048700,Riverside,Moreno Valley,4663,0,1,1,0,0,0,1,1,1,4,2023,{5BF738EC-C6F2-4322-B78F-FDAE0D185F80},,,,
696,06037540202,Los Angeles,Lynwood,6626,1,1,1,0,1,0,1,1,1,5,2023,{69C71BEF-09F3-4760-90FA-91151B88E84D},,,,
697,06037540203,Los Angeles,Lynwood,5783,1,1,1,0,1,0,1,1,1,5,2023,{2DA37A0C-4413-4036-8B2A-F4112522862C},,,,
698,06037551700,Los Angeles,Downey,6357,1,1,1,0,0,0,1,1,1,4,2023,{A15C79F8-8B4F-4439-B539-A4CAD2EF95E1},,,,
699,06037552100,Los Angeles,Norwalk,6292,1,1,1,1,1,1,1,1,1,7,2023,{89CCF9DE-F868-455B-9511-676A56213A8C},,,,
700,06037552200,Los Angeles,Norwalk,5771,1,1,1,0,1,1,1,1,1,6,2023,{3643226F-4096-470A-BCCE-9099D7F715CA},,,,
701,06111007611,Ventura,Moorpark,4295,1,1,1,0,1,0,1,1,0,4,2023,{459ED803-E889-45B3-9585-8F73A322D6BF},,,,
702,06037601100,Los Angeles,Inglewood,6834,1,1,1,1,0,0,1,1,1,5,2023,{150FBC71-46B6-453A-B207-88170E7C8D1C},,,,
703,06037601211,Los Angeles,Inglewood,2849,1,1,1,0,1,0,1,0,1,4,2023,{08D0EAD1-7D98-44AC-A087-BC34EDF27106},,,,
704,06037601212,Los Angeles,Inglewood,6172,1,1,1,0,0,0,1,1,1,4,2023,{3C7D4E0E-6BC5-4F74-ABDE-03350C78F825},,,,
705,06111008700,Ventura,Oxnard,5579,1,1,1,1,1,1,1,1,1,7,2023,{4DC40710-282C-4245-A4A2-5B87B223C809},,,,
706,06111008800,Ventura,Oxnard,5257,1,1,1,0,1,1,1,1,1,6,2023,{2C007EA2-03B5-4D20-995D-A037A757482C},,,,
707,06111009100,Ventura,Oxnard,5359,1,1,1,0,1,1,1,1,1,6,2023,{8EF8D659-5FF9-4E6C-80B6-2EE718C29FE1},,,,
708,06037601401,Los Angeles,Inglewood,6577,1,1,1,1,0,0,0,1,1,4,2023,{6BA0993C-7052-4CBA-8A67-3A1732550984},,,,
709,06037540300,Los Angeles,Lynwood,4680,1,1,1,0,1,0,1,1,0,4,2023,{8331AC9B-E4B9-4523-89E3-96196086707E},,,,
710,06037540400,Los Angeles,Unincorporated,2007,1,1,1,0,1,1,1,1,1,6,2023,{DDF9E20E-445E-4F71-A985-6E160DF5D412},,,,
711,06037540501,Los Angeles,Lynwood,5863,1,1,0,0,1,0,1,1,1,4,2023,{3D2678CA-0FA0-408C-9E57-5F80E79E6B18},,,,
712,06037540600,Los Angeles,Unincorporated,4701,1,1,1,0,0,0,1,1,1,4,2023,{506ED48D-C8E2-4C0D-A5C2-33EA5B8C92D7},,,,
713,06037540700,Los Angeles,Unincorporated,3205,1,1,1,0,0,0,1,1,1,4,2023,{E6CB0CA7-E5C8-400F-BC18-DDBA12EFBC0B},,,,
714,06037540901,Los Angeles,Unincorporated,4956,1,1,1,1,1,1,1,1,1,7,2023,{370EC2DA-EAEE-4CF6-A291-685AF6BA0A9B},,,,
715,06037540902,Los Angeles,Unincorporated,4419,1,1,1,1,0,0,1,1,1,5,2023,{E0CFCA12-0FFB-4AC7-9FD2-D8B88B5C7123},,,,
716,06037552400,Los Angeles,Norwalk,2389,1,1,1,1,0,1,1,1,0,5,2023,{C954BFF5-FCBC-43AD-829B-1F7B1E0DEAFD},,,,
717,06065042519,Riverside,Moreno Valley,1992,1,1,1,1,0,1,1,1,1,6,2023,{F5358B50-CD23-492B-88E4-A4CEE3A22837},,,,
718,06071005602,San Bernardino,San Bernardino,2928,1,1,1,1,1,1,1,1,0,6,2023,{B77E6A4D-38EE-405D-89CA-B5853B45A8DC},,,,
719,06065042514,Riverside,Moreno Valley,3431,1,1,1,1,1,1,1,1,1,7,2023,{6CB390DC-1EBA-461F-96C4-DEDB4CE7C986},,,,
720,06065042515,Riverside,Moreno Valley,3456,1,1,1,1,1,1,1,1,1,7,2023,{AD703FE7-3B4E-4B24-B1F0-D5F6E2AD61C7},,,,
721,06065042517,Riverside,Moreno Valley,3369,0,1,1,0,0,1,1,1,1,5,2023,{7C57E22D-0E63-41DA-A484-A7D0645DB10D},,,,
722,06065042513,Riverside,Moreno Valley,2926,1,1,0,1,1,1,1,1,0,5,2023,{81149200-A82C-4B5D-A7B8-F05B1FB1DD96},,,,
723,06065042518,Riverside,Moreno Valley,3226,1,1,1,0,0,1,1,1,1,5,2023,{E231590D-FCE0-47BF-A299-B6B2B3DF6FD8},,,,
724,06071008714,San Bernardino,Yucaipa,4204,1,0,1,0,0,0,1,1,1,4,2023,{E98E86AE-CD9F-45A2-9AA4-71439C55C836},,,,
725,06071006501,San Bernardino,San Bernardino,5601,1,1,0,0,1,1,1,1,1,5,2023,{580112EE-68DE-4074-849C-D68930DE765A},,,,
726,06071006502,San Bernardino,Highland,3280,1,1,1,0,0,1,1,1,1,5,2023,{12F82F68-5EDC-4DCD-B631-09DE858D657F},,,,
727,06071006303,San Bernardino,Unincorporated,4556,1,1,1,1,1,1,1,1,1,7,2023,{3B52BEB1-F7A4-4F5C-AB83-12B1A5E5DC08},,,,
728,06071005601,San Bernardino,San Bernardino,4015,1,1,1,1,1,1,1,1,1,7,2023,{C6B455FC-5FCF-4493-ACAA-7B329A1930E3},,,,
729,06071002503,San Bernardino,Fontana,4387,1,1,0,0,1,0,1,1,0,3,2023,{B573CD20-44C9-415B-B525-7A4748FCD4BD},,,,
730,06071002405,San Bernardino,Unincorporated,5498,1,1,1,0,1,0,0,1,1,4,2023,{8F49CE2C-07D0-4519-9C18-AD212FAA23B5},,,,
731,06071009502,San Bernardino,Barstow,4982,1,1,1,1,0,1,0,1,1,5,2023,{56A880C7-2C92-4009-BA43-BF7152141C0C},,,,
732,06071000305,San Bernardino,Montclair,5677,1,1,1,0,1,1,1,1,1,6,2023,{FD30F392-E827-4A06-AB0F-922E574BBFF9},,,,
733,06071009918,San Bernardino,Victorville,3269,1,1,1,1,1,1,0,0,0,4,2023,{73B69170-9064-4B0F-AA2F-DFF1255BCA66},,,,
734,06071011802,San Bernardino,Unincorporated,4070,1,0,1,1,0,1,1,1,1,6,2023,{44C8EA9D-9466-4554-A178-067116A6E59E},,,,
735,06071009501,San Bernardino,Barstow,3793,1,1,1,1,0,1,1,1,1,6,2023,{90EEA6FA-C2A0-4DA5-9353-C69A6BFBB548},,,,
736,06071009727,San Bernardino,Apple Valley,5008,1,1,1,1,0,1,1,0,1,5,2023,{3E840897-240E-4C45-98F3-48AC5DD7FE64},,,,
737,06071009917,San Bernardino,Victorville,6599,1,1,1,1,0,1,1,0,1,5,2023,{0BF31CD0-05F1-4F61-8CD5-5797255AC471},,,,
738,06071009916,San Bernardino,Victorville,5021,1,1,1,1,1,0,1,1,1,6,2023,{1C114346-A5DE-46B6-9E56-93B5C4B24F07},,,,
739,06071010036,San Bernardino,Victorville,4745,0,1,1,1,0,1,1,0,1,5,2023,{A262245B-AA43-40F4-8091-2CDEEBFFD86B},,,,
740,06071010037,San Bernardino,Victorville,7291,1,1,1,0,1,1,1,1,1,6,2023,{70094F2D-3700-42FE-8CAF-654B829AEA1D},,,,
741,06071011408,San Bernardino,Unincorporated,1530,1,0,1,1,0,0,1,0,1,4,2023,{F1231AB1-3C41-442E-9178-D1AAF5978D6B},,,,
742,06071008004,San Bernardino,Redlands,3156,1,1,0,0,1,1,1,1,0,4,2023,{FD1815F3-85C6-43CC-A77F-993C4064959C},,,,
743,06071000307,San Bernardino,Montclair,2766,1,1,1,0,1,1,1,1,1,6,2023,{BB2D647F-8129-4071-A3A7-54A0C1ADEF77},,,,
