X,Y,OBJECTID,LOCAL_GOVERNMENT,CSCPORTAL,NAME,SWIS,COUNTY,MUNI_TYPE,STATUS_AS,DATE_ADOPT
-78.506978386,43.3375721090001,172,Town of Somerset,https://climatesmart.ny.gov/,Somerset,293800,Niagara,Town,Registered,2/9/2010
-72.626340732,40.8660533190001,173,Town of Southampton,https://climatesmart.ny.gov/,Southampton,473600,Suffolk,Town,Bronze Certified,10/23/2012
-72.4488013929999,41.047772309,174,Town of Southold,https://climatesmart.ny.gov/,Southold,473800,Suffolk,Town,Registered,9/24/2019
-76.787976021,42.3346694740001,175,Village of Odessa,https://climatesmart.ny.gov/,Odessa,442001,Schuyler,Village,Registered,11/7/2019
-73.865631389,42.214820402,176,Village of Catskill,https://climatesmart.ny.gov/,Catskill,192601,Greene,Village,Registered,10/8/2014
-75.851272781,42.927937725,177,Village of Cazenovia,https://climatesmart.ny.gov/,Cazenovia,252201,Madison,Village,Bronze Certified,4/13/2009
-75.22639251,43.096193692,178,City of Utica,https://climatesmart.ny.gov/,Utica,301600,Oneida,City,Registered,7/8/2016
-77.192204322,43.2417020190001,179,Town of Williamson,https://climatesmart.ny.gov/,Williamson,544600,Wayne,Town,Registered,6/9/2015
-75.621881281,43.9731040230001,180,Village of West Carthage,https://climatesmart.ny.gov/,West Carthage,223001,Jefferson,Village,Registered,3/9/2009
-78.741883695,42.962263341,181,Village of Williamsville,https://climatesmart.ny.gov/,Williamsville,143005,Erie,Village,Bronze Certified,5/28/2019
-74.750647532,42.7978334090001,182,Village of Cherry Valley,https://climatesmart.ny.gov/,Cherry Valley,362401,Otsego,Village,Registered,10/21/2019
-77.940314788,43.2136158180001,183,Village of Brockport,https://climatesmart.ny.gov/,Brockport,262401,Monroe,Village,Registered,9/28/2015
-73.9247672669999,41.093946859,184,Village of Nyack,https://climatesmart.ny.gov/,Nyack,392005,Rockland,Village,Bronze Certified,8/22/2013
-73.918970568,41.1121678160001,185,Village of Upper Nyack,https://climatesmart.ny.gov/,Upper Nyack,392001,Rockland,Village,Registered,8/2/2021
-74.164634249,42.055692289,186,Town of Woodstock,https://climatesmart.ny.gov/,Woodstock,515800,Ulster,Town,Bronze Certified,6/21/2016
-73.691822315,41.888557495,187,Town of Stanford,https://climatesmart.ny.gov/,Stanford,135200,Dutchess,Town,Registered,12/9/2021
-76.8290453499999,42.576045745,188,Town of Lodi,https://climatesmart.ny.gov/,Lodi,452600,Seneca,Town,Bronze Certified,6/10/2021
-73.664967893,40.588073147,189,City of Long Beach,https://climatesmart.ny.gov/,Long Beach,280900,Nassau,City,Bronze Certified,8/20/2013
-74.811446975,41.4933978650001,190,Town of Lumberland,https://climatesmart.ny.gov/,Lumberland,483800,Sullivan,Town,Registered,9/12/2012
-78.36280679,42.30516406,191,Town of Lyndon,https://climatesmart.ny.gov/,Lyndon,045600,Cattaraugus,Town,Registered,2/9/2010
-73.8911236449999,41.589763609,192,Town of Wappinger,https://climatesmart.ny.gov/,Wappinger,135600,Dutchess,Town,Registered,7/27/2015
-73.627741478,41.7966233500001,193,Town of Washington,https://climatesmart.ny.gov/,Washington,135800,Dutchess,Town,Registered,3/10/2022
-73.8637949439999,40.9465260320001,194,City of Yonkers,https://climatesmart.ny.gov/,Yonkers,551800,Westchester,City,Bronze Certified,4/14/2009
-73.809103033,41.2725760380001,195,Town of Yorktown,https://climatesmart.ny.gov/,Yorktown,555400,Westchester,Town,Bronze Certified,12/9/2009
-77.460492522,42.6235816010001,196,Town of Naples,https://climatesmart.ny.gov/,Naples,323800,Ontario,Town,Registered,1/16/2019
-73.7525452419999,42.4040483040001,197,Town of Stuyvesant,https://climatesmart.ny.gov/,Stuyvesant,105200,Columbia,Town,Registered,12/9/2021
-76.143534815,43.0406800150001,198,City of Syracuse,https://climatesmart.ny.gov/,Syracuse,311500,Onondaga,City,Registered,4/27/2009
-73.7444904549999,40.949856697,199,Town of Mamaroneck,https://climatesmart.ny.gov/,Mamaroneck,553200,Westchester,Town,Bronze Certified,6/3/2009
-75.943647943,43.0379841590001,200,Town of Manlius,https://climatesmart.ny.gov/,Manlius,313800,Onondaga,Town,Bronze Certified,4/22/2020
-73.7873538219999,41.18387232,201,Town of New Castle,https://climatesmart.ny.gov/,New Castle,553600,Westchester,Town,Silver Certified,2/12/2008
-75.247777238,43.044420045,202,Town of New Hartford,https://climatesmart.ny.gov/,New Hartford,304800,Oneida,Town,Registered,6/20/2018
-73.4384888709999,42.4690508030001,203,Town of New Lebanon,https://climatesmart.ny.gov/,New Lebanon,104800,Columbia,Town,Bronze Certified,2/11/2020
-75.14021554,42.6231433130001,204,Town of New Lisbon,https://climatesmart.ny.gov/,New Lisbon,364400,Otsego,Town,Bronze Certified,2/13/2019
-74.128934739,41.7558664590001,205,Town of New Paltz,https://climatesmart.ny.gov/,New Paltz,513800,Ulster,Town,Bronze Certified,6/17/2010
-73.7845666109999,40.933095759,206,City of New Rochelle,https://climatesmart.ny.gov/,New Rochelle,551000,Westchester,City,Bronze Certified,4/13/2009
-73.882246998,41.1519902640001,207,Town of Ossining,https://climatesmart.ny.gov/,Ossining,554200,Westchester,Town,Registered,6/10/2009
-74.1611193219999,41.8696082120001,208,Town of Marbletown,https://climatesmart.ny.gov/,Marbletown,513400,Ulster,Town,Bronze Certified,6/16/2015
-73.940517802,42.6048986070001,209,Town of New Scotland,https://climatesmart.ny.gov/,New Scotland,013400,Albany,Town,Registered,6/13/2018
-74.022718176,41.5040939570001,210,City of Newburgh,https://climatesmart.ny.gov/,Newburgh,331100,Orange,City,Registered,4/23/2018
-76.490522497,43.4583305460001,211,City of Oswego,https://climatesmart.ny.gov/,Oswego,351200,Oswego,City,Registered,2/8/2010
-74.979688675,42.7441156780001,212,Town of Otsego,https://climatesmart.ny.gov/,Otsego,365000,Otsego,Town,Registered,3/6/2019
-73.9255123419999,41.644704355,213,Town of Poughkeepsie,https://climatesmart.ny.gov/,Poughkeepsie,134600,Dutchess,Town,Bronze Certified,5/20/2019
-73.921091958,41.694901454,214,City of Poughkeepsie,https://climatesmart.ny.gov/,Poughkeepsie,131300,Dutchess,City,Bronze Certified,5/7/2018
-73.566582231,41.2170935500001,215,Town of Pound Ridge,https://climatesmart.ny.gov/,Pound Ridge,554600,Westchester,Town,Bronze Certified,12/8/2016
-76.1320160779999,42.7431087350001,216,Town of Preble,https://climatesmart.ny.gov/,Preble,113600,Cortland,Town,Registered,1/10/2011
-74.869928393,42.7029052240001,217,Town of Middlefield,https://climatesmart.ny.gov/,Middlefield,363800,Otsego,Town,Registered,4/13/2021
-76.494001232,42.888258346,218,Town of Owasco,https://climatesmart.ny.gov/,Owasco,054600,Cayuga,Town,Bronze Certified,12/12/2014
-73.4976732059999,40.788933141,219,Town of Oyster Bay,https://climatesmart.ny.gov/,Oyster Bay,282400,Nassau,Town,Registered,10/22/2019
-73.836312763,41.3983511650001,220,Town of Putnam Valley,https://climatesmart.ny.gov/,Putnam Valley,372800,Putnam,Town,Registered,3/18/2020
-73.6747839729999,43.3624405850001,221,Town of Queensbury,https://climatesmart.ny.gov/,Queensbury,523400,Warren,Town,Bronze Certified,2/25/2019
-73.8785127259999,42.0187180940001,222,Town of Red Hook,https://climatesmart.ny.gov/,Red Hook,134800,Dutchess,Town,Bronze Certified,2/11/2019
-76.405859667,42.812713962,223,Town of Niles,https://climatesmart.ny.gov/,Niles,054400,Cayuga,Town,Registered,8/14/2014
-73.8729340089999,42.803131926,224,Town of Niskayuna,https://climatesmart.ny.gov/,Niskayuna,422400,Schenectady,Town,Registered,7/26/2011
-73.693637968,41.142241239,225,Town of North Castle,https://climatesmart.ny.gov/,North Castle,553800,Westchester,Town,Registered,3/11/2009
-73.558581885,41.9187096570001,226,Town of North East,https://climatesmart.ny.gov/,North East,133800,Dutchess,Town,Bronze Certified,2/8/2018
-73.561730994,41.571362353,227,Town of Pawling,https://climatesmart.ny.gov/,Pawling,134000,Dutchess,Town,Registered,7/14/2021
-73.9223564439999,41.288531779,228,City of Peekskill,https://climatesmart.ny.gov/,Peekskill,551200,Westchester,City,Bronze Certified,7/13/2009
-73.857599405,41.929384219,229,Town of Rhinebeck,https://climatesmart.ny.gov/,Rhinebeck,135000,Dutchess,Town,Bronze Certified,9/14/2010
-75.0515252129999,42.854879532,230,Town of Richfield,https://climatesmart.ny.gov/,Richfield,365600,Otsego,Town,Registered,3/16/2015
-76.1861018239999,43.5490668850001,231,Town of Richland,https://climatesmart.ny.gov/,Richland,355000,Oswego,Town,Bronze Certified,2/10/2015
-77.524540563,42.7912036640001,232,Town of Richmond,https://climatesmart.ny.gov/,Richmond,324200,Ontario,Town,Registered,1/9/2019
-76.482304341,43.39874718,233,Town of Minetto,https://climatesmart.ny.gov/,Minetto,353600,Oswego,Town,Registered,5/12/2014
